number,value,datetime_start,datetime_complete,duration,params_co2_weight,params_eps_decay,params_gamma,params_learning_rate,params_pmv_weight,params_tau,state
10,-185.7436442250286,2026-02-25 16:36:48.969098,2026-02-25 16:41:31.389284,0 days 00:04:42.420186,0.5820983875181007,12,0.9077900974437089,0.004985163438483269,0.47227739054553713,0.002153888704791384,COMPLETE
11,-196.99960896994804,2026-02-25 16:41:31.421238,2026-02-25 16:46:13.000399,0 days 00:04:41.579161,0.5973307854547645,6,0.9015314158320751,0.004009997699040662,0.46421742933093324,0.002354064433918929,COMPLETE
12,-194.6924971685722,2026-02-25 16:46:13.035843,2026-02-25 16:50:56.582586,0 days 00:04:43.546743,0.6147289357927186,12,0.9204466828250261,0.004762264524936963,0.4746198210932023,0.0021958344674735245,COMPLETE
13,-253.26277698074875,2026-02-25 16:50:56.614056,2026-02-25 16:55:32.185301,0 days 00:04:35.571245,0.5576572888240265,12,0.922729972882231,0.002134953213422347,0.2078225313976334,0.0019246693653860458,COMPLETE
14,-462.0600623108463,2026-02-25 16:55:32.217554,2026-02-25 17:00:13.727512,0 days 00:04:41.509958,0.6933216584217556,5,0.9276105702737041,0.0006005140879791862,0.4308106365525028,0.0010051027414033887,COMPLETE
15,-199.2708363914812,2026-02-25 17:00:13.758866,2026-02-25 17:04:54.326832,0 days 00:04:40.567966,0.5308422175425392,7,0.913439940156968,0.0026565009339374807,0.7907184959015574,0.00332566484069007,COMPLETE
16,-314.89259854154966,2026-02-25 17:04:54.358488,2026-02-25 17:09:34.350082,0 days 00:04:39.991594,0.6629216926386408,5,0.936896678431149,0.0006785501600054135,0.5673104622101266,0.0015940754183285616,COMPLETE
17,-362.21899585649584,2026-02-25 17:09:34.380699,2026-02-25 17:14:26.737769,0 days 00:04:52.357070,0.30765365665771105,8,0.9337188235972665,0.0027122511640388734,0.4033739820709683,0.0029532229621710543,COMPLETE
18,-537.0525887540366,2026-02-25 17:14:26.770031,2026-02-25 17:19:11.112249,0 days 00:04:44.342218,0.518745938427714,11,0.9009363934968115,0.0011660642302494316,0.529875156060749,0.0015924548327454456,COMPLETE
19,-203.63878609479372,2026-02-25 17:19:11.144068,2026-02-25 17:23:58.475178,0 days 00:04:47.331110,0.7978198051489264,6,0.9136033252383896,0.00033775579509571656,0.2837239758772113,0.008030166985359492,COMPLETE
20,-195.49882763351783,2026-02-25 17:23:58.506437,2026-02-25 17:28:45.819544,0 days 00:04:47.313107,0.5756201222169172,4,0.9570050409040765,0.0026706256119463146,0.2020558550377892,0.0028315277242381095,COMPLETE
21,-50.73882006849707,2026-02-25 17:28:45.851384,2026-02-25 17:33:32.507221,0 days 00:04:46.655837,0.7773665559149904,3,0.9614936530871822,0.001355840940891399,0.367230778638782,0.00974884702099165,COMPLETE
22,-65.97149620192192,2026-02-25 17:33:32.538968,2026-02-25 17:38:23.855805,0 days 00:04:51.316837,0.7289453559099576,4,0.9598727951817678,0.0010013398134336962,0.39683393627930114,0.0076038221535027995,COMPLETE
23,-80.39080342341333,2026-02-25 17:38:23.888515,2026-02-25 17:43:20.707299,0 days 00:04:56.818784,0.7226799906431365,4,0.9612185410373103,0.0008035525103387919,0.38896329358754056,0.007654980017641874,COMPLETE
24,-65.11791099221134,2026-02-25 17:43:20.741310,2026-02-25 17:48:15.548566,0 days 00:04:54.807256,0.7342379851426007,4,0.9607110964671347,0.000944170241251559,0.39420308247855074,0.007992943167721976,COMPLETE
25,-82.35155176972859,2026-02-25 17:48:15.582880,2026-02-25 17:53:06.925708,0 days 00:04:51.342828,0.750968953457485,4,0.9437927819380543,0.00040369017943426227,0.32312894600175174,0.019392266908247767,COMPLETE
26,-117.2386091773732,2026-02-25 17:53:06.957969,2026-02-25 17:57:53.774183,0 days 00:04:46.816214,0.6946303168030873,3,0.9635596052657801,0.0009274761044472895,0.40908741482120303,0.008249157959111391,COMPLETE
27,-185.33780623873807,2026-02-25 17:57:53.809675,2026-02-25 18:02:47.543250,0 days 00:04:53.733575,0.6655157446643117,4,0.9543162540890093,0.0005135648860243168,0.5137642795793063,0.006422439733684158,COMPLETE
28,-37.4643853415067,2026-02-25 18:02:47.575819,2026-02-25 18:07:43.278044,0 days 00:04:55.702225,0.7960776788237066,3,0.9708432940435133,0.001024102131745159,0.42833766331089973,0.010120826196216133,COMPLETE
29,-62.01488566474182,2026-02-25 18:07:43.312028,2026-02-25 18:12:33.879088,0 days 00:04:50.567060,0.7796968554723994,3,0.9700681599744445,0.0015077200870877903,0.43463933480083317,0.010736234570122915,COMPLETE
