number,value,datetime_start,datetime_complete,duration,params_co2_weight,params_eps_decay,params_gamma,params_learning_rate,params_pmv_weight,params_tau,state
11,-271.60638053838426,2026-02-25 14:21:01.811231,2026-02-25 14:25:28.117587,0 days 00:04:26.306356,0.685348013442743,5,0.9378135082095668,0.0004804998606416621,0.6122685681561859,0.008208326987414208,COMPLETE
12,-257.86842055695814,2026-02-25 14:25:28.149554,2026-02-25 14:29:46.151689,0 days 00:04:18.002135,0.7145090187304599,5,0.9291794204127587,0.00026229997168763396,0.6145321814952821,0.006590588417536194,COMPLETE
13,-362.8807734837896,2026-02-25 14:29:46.183952,2026-02-25 14:34:09.008475,0 days 00:04:22.824523,0.7941472918581232,5,0.9296102053647735,0.0002146453564248328,0.7931525439244463,0.007443403302052612,COMPLETE
14,-211.98219521985507,2026-02-25 14:34:09.039963,2026-02-25 14:38:40.294205,0 days 00:04:31.254242,0.6837148644524677,3,0.919414819356802,0.0002630732061865077,0.6095811808736861,0.0027235814673820377,COMPLETE
15,-517.5235387965084,2026-02-25 14:38:40.331965,2026-02-25 14:43:09.217913,0 days 00:04:28.885948,0.7017739545964468,3,0.9186102344348579,0.00017304595843442417,0.5746635937568781,0.0025854574421994314,COMPLETE
16,-293.9596992570401,2026-02-25 14:43:09.251673,2026-02-25 14:47:33.408849,0 days 00:04:24.157176,0.697960178893766,3,0.9215625604221113,0.00024029611043997295,0.7323587849425833,0.002420764073054284,COMPLETE
17,-249.76924356771465,2026-02-25 14:47:33.440615,2026-02-25 14:52:01.046328,0 days 00:04:27.605713,0.6085391171188549,4,0.9019628872292101,0.004286660142222101,0.4109705082959611,0.0028152644713405578,COMPLETE
18,-408.8392923573159,2026-02-25 14:52:01.080700,2026-02-25 14:56:27.934637,0 days 00:04:26.853937,0.6001763370470142,4,0.9040095923349049,0.0048826242962445475,0.39884451068662774,0.0027129111922457455,COMPLETE
19,-503.04541217434155,2026-02-25 14:56:27.967761,2026-02-25 15:00:52.666780,0 days 00:04:24.699019,0.5574890169229306,4,0.903787317572553,0.004524645551794397,0.406032865720946,0.002147064372163629,COMPLETE
20,-225.39054220591007,2026-02-25 15:00:52.695749,2026-02-25 15:05:21.053743,0 days 00:04:28.357994,0.6427322852536572,6,0.9189047124970714,0.0009494825516777658,0.5343672974676377,0.0034203333460688045,COMPLETE
21,-308.0759488704417,2026-02-25 15:05:21.093420,2026-02-25 15:09:49.605872,0 days 00:04:28.512452,0.6452301410441049,6,0.9180522293958258,0.0009129078183374503,0.4477199589610759,0.0034704821176771007,COMPLETE
22,-245.26232365650762,2026-02-25 15:09:49.639590,2026-02-25 15:14:16.757595,0 days 00:04:27.118005,0.6275249261270068,6,0.9113607411230418,0.003293515142865688,0.5539668808629481,0.003217668606239759,COMPLETE
23,-192.32993237000656,2026-02-25 15:14:16.789048,2026-02-25 15:18:46.503911,0 days 00:04:29.714863,0.7481646320909389,6,0.9223487602958486,0.0009093455427517853,0.5497104984319715,0.0018842886273223915,COMPLETE
24,-198.8588901183264,2026-02-25 15:18:46.535969,2026-02-25 15:23:15.128160,0 days 00:04:28.592191,0.7600849630267713,10,0.9414087228294676,0.0007899759362214446,0.5542927832313801,0.0018522893766565421,COMPLETE
25,-505.19825498259047,2026-02-25 15:23:15.159804,2026-02-25 15:27:40.300418,0 days 00:04:25.140614,0.7567637543866104,11,0.9411166958505428,0.000349805488386229,0.6963837726199946,0.0020184675891198305,COMPLETE
26,-323.8980188968669,2026-02-25 15:27:40.333641,2026-02-25 15:32:05.360025,0 days 00:04:25.026384,0.7423823848453991,10,0.951572353734204,0.0007081968167128218,0.5805622185868556,0.001726530110090842,COMPLETE
27,-176.28528568042674,2026-02-25 15:32:05.396243,2026-02-25 15:36:30.168857,0 days 00:04:24.772614,0.7858237242909167,9,0.9623653453699103,0.0009187658074755084,0.6716817110134309,0.0018282538923351833,COMPLETE
28,-116.56532664292422,2026-02-25 15:36:30.200925,2026-02-25 15:40:57.754078,0 days 00:04:27.553153,0.7937445912227956,9,0.9599227232287868,0.0010202645030972812,0.6725640254959144,0.0010045447914468497,COMPLETE
29,-174.29665158465266,2026-02-25 15:40:57.786795,2026-02-25 15:45:27.424104,0 days 00:04:29.637309,0.7786285803989189,9,0.9625952767941879,0.0011451419238059774,0.7015231802319656,0.001269355368364844,COMPLETE
